kode pengungsian,alamat lengkap,latitude,longitude,kapasitas (jiwa)
JPM113,"Jl. Anggrek I No.2 4, RT.5/RW.2, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",-6.21795,106.8245,2600
JPM114,"Jl. Lontar No.8, RT.15/RW.7, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",-6.21792,106.8429,2800
JPM115,"QRHG+P5X, RT.4/RW.7, Kuningan, Karet Kuningan, Setiabudi, South Jakarta City, Jakarta 12940",-6.22064,106.8255,600
JPM116,"Jalan Jendral Sudirman Kav. 29-31, Karet, Setiabudi, RT.4/RW.2, Karet, RT.4/RW.2, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",-6.21416,106.8206,1900
JPM117,"Jl. HR. Rasuna Said Apartemen Taman Rasuna No.1506h, RT.16/RW.1, Kuningan, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",-6.21943,106.8376,1900
JPM118,"JL Setiabudi, 2, RT.2/RW.2, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540",-6.21013,106.826,1400
JPM119,"Jl. BB No.9A, RT.6/RW.5, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",-6.21247,106.8256,2400
JPM120,"Jl. Mega Kuningan Barat IX No.1 5, RT.5/RW.1, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950",-6.22778,106.8235,1100
JPM121,"QR8F+VHP, RT.6/RW.3, Kuningan, East Kuningan, Setiabudi, South Jakarta City, Jakarta 12950",-6.2328,106.824,1000
JPM122,"Centennial Tower lantai 22, Jl. Gatot Subroto Kav. 24-25, RT.3/RW.3, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930",-6.23016,106.8208,2200
JPM123,"Jl. H. Cokong Pedurenan No.3, RT.3/RW.1, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",-6.21487,106.8326,1400
JPM124,"QRPC+XQG, Masjid Jaami' Al - Ijtihaad, Jl. Karet Gusuran III, RT.10/RW.1, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",-6.21256,106.8219,1800
JPM125,"Jl. Menteng Atas No.12, RT.5/RW.12, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",-6.21394,106.8386,1700
JPM126,"Jl. Setia Budi Barat VII No.3, RT.3/RW.3, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910",-6.20718,106.8234,1300
JPM127,"Jl. Pedurenan Mesjid 1 No.15, RT.14/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",-6.22409,106.8299,2500
JPM128,"Jl. Sidik No.45 7, RT.4/RW.6, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",-6.21976,106.8231,2200
JPM129,"QR7J+VH5, Jl. Taman Patra XV, RT.5/RW.4, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950",-6.23537,106.8315,2900
JPM130,"Bulog Jl. Gatot Subroto No.Kav 49 5, RT.5/RW.4, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950",-6.23721,106.8296,1600
JPM131,"Jl. Subur Dalam No.1 1, RT.1/RW.8, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",-6.21957,106.8442,2900
